"","Vpn.Nr","sz1_1","sz1_2","sz1_3","sz1_4","sz1_5","sz1_6","sz1_7","sz1_8","sz1_9","sz2_1","sz2_2","sz2_3","sz2_4","sz2_5","sz2_6","sz2_7","sz2_8","sz2_9","uni_1","uni_2","uni_3","uni_4","uni_5","uni_6","uni_7","bf_1","bf_2","bf_3","bf_4","bf_5","bf_6","bf_7","bf_8","bf_9","bf_10","bf_11","bf_12","bf_13","bf_14","bf_15","bf_16","bf_17","bf_18","bf_19","bf_20","int_stat","int_it","sw_stat","sw_r","lezu_1","lezu_2","lezu_3","lezu_4","lezu_5","prok_1","prok_2","prok_3","prok_4","prok_5","prok_6","prok_7","prok_8","prok_9","prok_10","berufswunsch","berufswunsch_sonst","nebenjob","abi","geschl","alter","groesse","anz.geschw","bland","erq_1","erq_2","erq_3","erq_4","erq_5","erq_6","erq_7","erq_8","erq_9","erq_10","ros_1","ros_2","ros_3","ros_4","ros_5","ros_6","ros_7","ros_8","ros_9","ros_10","uni_1.f","uni_2.f","uni_3.f","uni_4.f","uni_5.f","uni_6.f","uni_7.f","berufswunsch.f","nebenjob.f","geschl.f","bland.f","prok_2.r","prok_3.r","prok_5.r","prok_7.r","prok_8.r","ros_2.r","ros_5.r","ros_6.r","ros_8.r","ros_9.r","SZ1_INH","SZ1_BED","SZ1_BEL","SZ2_INH","SZ2_BED","SZ2_BEL","BF_EXT","BF_VER","BF_GEW","BF_NEU","BF_OFF","LEZU","PROK","REAP","SUPP","SW"
"11",11,5,2,2,4,2,1,5,2,1,5,4,3,4,3,2,5,3,2,1,2,2,2,2,1,1,4,4,5,4,3,3,5,4,3,3,5,2,3,3,4,2,4,3,3,4,5,2,4,4,6,6,6,6,5,2,2,2,1,3,1,3,2,3,1,1,NA,2,1.3,1,19,164,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","ja","ja","nein","nein","klinische Psychologie","nein","weiblich","BW",3,3,2,2,3,NA,NA,NA,NA,NA,4.66666666666667,2,1.33333333333333,4.66666666666667,3.33333333333333,2.33333333333333,3,4,4.75,3,3,5.8,2.1,NA,NA,NA
"12",12,4,2,3,4,2,2,5,2,2,5,2,2,5,2,2,5,2,2,1,2,2,2,2,1,2,4,4,5,4,3,4,5,5,3,4,5,4,3,3,4,3,5,3,4,5,3,2,3,4,5,6,5,6,4,2,3,2,3,3,2,3,3,2,3,2,NA,1,2.6,1,20,179,4,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","ja","ja","nein","ja","p‰dagogische Psychologie","ja","weiblich","RP",2,3,2,2,2,NA,NA,NA,NA,NA,4.33333333333333,2,2.33333333333333,5,2,2,3.5,4.5,5,4,3,5.2,2.3,NA,NA,NA
"13",13,5,3,4,5,2,1,5,4,3,5,4,4,5,2,1,5,4,2,1,1,2,1,2,2,2,4,4,3,4,4,5,3,4,4,5,5,2,2,4,4,2,4,4,3,4,2,2,1,1,5,6,6,5,6,3,2,1,4,2,2,2,3,4,4,3,NA,2,1.6,1,29,180,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","nein","ja","nein","ja","ja","ja","Wirtschaftspsychologie","nein","weiblich","NW",3,4,3,3,2,NA,NA,NA,NA,NA,5,3,2.66666666666667,5,3.33333333333333,2.33333333333333,3.25,4,3.75,3.5,4,5.6,3.2,NA,NA,NA
"14",14,5,3,2,5,1,3,5,3,1,5,2,1,5,2,3,5,2,1,1,2,2,2,2,1,1,2,5,3,5,5,2,4,4,5,5,5,2,2,3,5,2,5,3,5,4,1,5,5,5,6,7,6,7,7,1,1,4,2,4,3,1,2,1,1,5,"noch nicht festgelegt",2,1.4,2,20,175,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","ja","ja","nein","nein","sonstiges","nein","m‰nnlich","BW",4,1,1,4,3,NA,NA,NA,NA,NA,5,2.33333333333333,2,5,2,1.66666666666667,2,4.75,4,4.25,4,6.6,2.1,NA,NA,NA
"15",15,2,3,1,3,3,5,3,2,5,3,3,2,3,2,3,3,2,3,1,1,2,2,2,1,2,3,2,4,4,3,3,3,4,3,4,4,4,3,2,3,4,4,2,5,3,1,1,1,1,3,4,3,4,3,3,2,2,3,2,3,1,1,4,3,5,"bin noch nicht festgelegt,Wirtschaft oder klinische",2,1.7,1,20,171,4,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","nein","ja","ja","ja","nein","ja","sonstiges","nein","weiblich","ST",3,3,3,4,4,NA,NA,NA,NA,NA,2.66666666666667,2.66666666666667,3.66666666666667,3,2.33333333333333,2.66666666666667,3.25,3.25,3.5,4.25,2.5,3.4,3.3,NA,NA,NA
"16",16,4,3,2,5,3,1,4,3,2,4,4,2,5,3,2,4,2,2,1,2,2,2,2,1,1,4,4,2,3,4,4,2,3,4,3,2,4,4,4,4,4,3,4,2,2,3,3,5,5,5,6,6,4,3,3,2,1,3,2,2,2,3,2,2,3,NA,2,1.5,2,24,190,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","ja","ja","nein","nein","Wirtschaftspsychologie","nein","m‰nnlich","BW",3,4,3,3,2,NA,NA,NA,NA,NA,4.33333333333333,3,1.66666666666667,4.33333333333333,3,2,4,3.5,2,3,4,4.8,2.7,NA,NA,NA
"17",17,4,3,2,3,4,3,4,3,4,3,5,5,3,4,5,2,4,5,2,2,2,2,2,2,2,3,5,4,4,5,4,4,4,5,4,3,3,3,4,4,4,3,2,3,2,2,4,3,5,6,3,4,7,3,1,1,3,2,4,1,4,2,1,4,1,NA,2,1.6,2,23,162,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ja","ja","ja","ja","ja","ja","ja","klinische Psychologie","nein","m‰nnlich","BW",4,2,1,1,3,NA,NA,NA,NA,NA,3.66666666666667,3.33333333333333,3,2.66666666666667,4.33333333333333,5,3.5,4,3.25,3.5,4,4.6,2,NA,NA,NA
"18",18,4,4,4,4,3,3,4,3,4,4,4,3,4,4,3,4,3,4,1,2,2,1,2,2,2,2,3,4,3,4,2,4,3,4,2,4,2,3,5,3,2,4,5,4,4,3,2,4,4,4,5,5,4,4,2,3,3,2,3,2,2,3,2,2,1,NA,2,2.3,2,23,167,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","nein","ja","ja","ja","klinische Psychologie","nein","m‰nnlich","BW",2,2,2,3,2,NA,NA,NA,NA,NA,4,3.33333333333333,3.66666666666667,4,3.66666666666667,3.33333333333333,2.25,3.25,4,2.75,4.5,4.4,2.1,NA,NA,NA
"19",19,2,4,4,3,3,2,3,4,4,2,4,4,3,3,2,3,4,3,1,2,2,1,2,2,2,4,3,2,2,3,3,2,2,3,3,3,3,4,3,4,4,4,3,5,2,4,4,3,5,3,3,3,6,3,4,2,1,4,1,4,1,4,4,4,3,NA,1,1.6,1,20,163,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","nein","ja","ja","ja","Wirtschaftspsychologie","ja","weiblich","BW",3,4,4,4,1,NA,NA,NA,NA,NA,2.66666666666667,3.66666666666667,3.33333333333333,2.66666666666667,3.66666666666667,3,3.75,3.25,2.25,3.25,3,3.6,3.6,NA,NA,NA
"20",20,3,2,5,2,5,3,3,3,4,4,2,3,5,4,2,5,2,3,1,2,2,2,2,1,1,3,4,5,3,4,2,5,5,5,4,5,4,3,5,4,5,5,5,5,5,5,5,5,5,5,4,4,5,2,2,3,3,1,4,2,3,3,2,1,4,NA,1,1.5,1,18,162,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","ja","ja","nein","nein","Forschung","ja","weiblich","BY",2,2,1,2,2,NA,NA,NA,NA,NA,2.66666666666667,3.33333333333333,4,4.66666666666667,2.66666666666667,2.66666666666667,3.25,4.5,5,4,4.75,4,1.7,NA,NA,NA
"21",21,4,3,2,5,2,1,5,2,2,4,3,2,5,2,2,5,3,2,2,2,2,1,2,1,1,2,4,3,4,3,2,4,4,3,2,5,4,3,4,4,4,4,3,5,4,2,2,3,3,5,5,5,5,3,2,3,3,2,3,2,3,1,2,1,1,NA,1,2.9,1,NA,184,1,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ja","ja","ja","nein","ja","nein","nein","klinische Psychologie","ja","weiblich","RP",2,2,2,2,4,NA,NA,NA,NA,NA,4.66666666666667,2.33333333333333,1.66666666666667,4.66666666666667,2.66666666666667,2,2.75,4,4,3.75,3.25,4.6,2.1,NA,NA,NA
"22",22,5,1,2,5,2,1,5,2,3,5,1,2,5,2,1,5,2,2,1,2,2,1,2,1,1,1,4,4,1,5,2,5,5,5,2,5,2,4,4,4,1,5,2,2,4,2,1,4,4,6,4,7,7,2,3,3,1,4,2,2,3,3,3,1,5,"forensische Psychologie",2,2.4,1,32,171,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","nein","ja","nein","nein","sonstiges","nein","weiblich","BE",2,4,3,2,2,NA,NA,NA,NA,NA,5,1.66666666666667,2,5,1.66666666666667,1.66666666666667,2,4.5,4.5,1.75,4,5.2,2.6,NA,NA,NA
"23",23,5,3,2,5,2,1,5,2,2,5,2,2,5,2,1,5,2,2,1,1,2,1,1,1,1,2,4,3,1,3,3,2,5,3,2,4,2,4,3,4,1,5,3,3,3,2,4,3,5,6,6,6,6,6,3,2,2,3,2,2,2,1,4,1,1,NA,1,1.6,2,20,167,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","nein","ja","nein","nein","nein","nein","klinische Psychologie","ja","m‰nnlich","BW",3,3,3,3,4,NA,NA,NA,NA,NA,5,2.33333333333333,1.66666666666667,5,2,1.66666666666667,2.5,4.5,3,2,3,6,2.9,NA,NA,NA
"24",24,4,2,3,4,1,3,3,2,4,4,2,3,5,1,2,5,2,4,1,2,2,1,2,2,2,4,5,4,4,3,4,5,4,3,4,4,3,4,3,5,4,4,3,5,4,4,2,3,4,6,6,5,6,6,1,4,3,2,4,2,4,3,2,2,4,NA,1,1.6,1,25,170,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","nein","ja","ja","ja","Forschung","ja","weiblich","HE",1,2,1,1,2,NA,NA,NA,NA,NA,3.66666666666667,1.66666666666667,3.33333333333333,4.66666666666667,1.66666666666667,3,4,4.5,4.25,4,3,5.8,1.6,NA,NA,NA
"25",25,4,2,2,4,2,1,4,2,2,4,2,3,4,2,3,4,2,2,1,2,2,2,2,1,1,4,4,3,4,3,4,3,3,4,3,3,4,3,4,4,4,4,3,4,3,2,4,2,3,5,4,5,4,3,3,2,1,3,2,3,2,2,4,3,1,NA,1,1.6,1,18,167,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","ja","ja","nein","nein","klinische Psychologie","ja","weiblich","BW",3,4,3,3,3,NA,NA,NA,NA,NA,4,2,1.66666666666667,4,2,2.66666666666667,3.75,3.75,3,3.75,3.5,4.2,3.2,NA,NA,NA
"26",26,4,3,1,5,2,2,5,4,3,4,4,1,5,3,4,5,3,3,1,2,2,2,2,2,2,4,4,4,4,3,4,4,5,3,4,5,3,4,2,5,2,5,3,5,5,4,2,4,4,5,4,6,6,2,2,4,2,3,4,3,2,4,3,2,3,NA,2,1.5,1,19,182,1,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","ja","ja","ja","ja","Wirtschaftspsychologie","nein","weiblich","RP",1,3,1,3,1,NA,NA,NA,NA,NA,4.66666666666667,3,2,4.66666666666667,3.33333333333333,2.66666666666667,3.5,4.75,4.5,4,2.75,4.6,2.2,NA,NA,NA
"27",27,5,2,2,4,1,1,5,1,3,5,2,4,4,1,2,5,2,1,1,2,2,2,2,2,2,5,4,3,5,5,5,3,5,4,5,3,5,5,3,5,5,5,5,5,3,3,1,4,2,7,7,6,7,6,3,2,3,3,3,2,3,3,3,2,1,NA,2,2,1,25,168,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","ja","ja","ja","ja","klinische Psychologie","nein","weiblich","BE",3,2,2,2,2,NA,NA,NA,NA,NA,4.66666666666667,1.33333333333333,2,4.66666666666667,1.66666666666667,2.33333333333333,5,4.75,3,5,4.25,6.6,2.4,NA,NA,NA
"28",28,5,2,2,5,2,2,5,1,3,5,2,2,5,2,2,5,2,3,1,2,2,1,2,2,2,4,4,4,3,4,4,4,4,4,3,5,3,4,4,4,3,5,4,3,4,3,2,4,4,5,5,5,5,5,2,3,3,2,3,3,3,3,2,2,1,NA,1,1.6,1,21,163,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","nein","ja","ja","ja","klinische Psychologie","ja","weiblich","NW",2,2,2,2,2,NA,NA,NA,NA,NA,5,1.66666666666667,2.33333333333333,5,2,2.33333333333333,3.75,4.25,4.25,3,4,5,2.1,NA,NA,NA
"29",29,3,3,3,4,3,1,4,2,2,4,3,3,4,2,1,4,2,1,1,2,2,2,2,1,1,4,4,3,4,3,4,3,4,3,4,4,3,4,3,4,4,4,3,4,3,2,3,3,3,4,4,4,5,4,2,3,2,2,3,2,3,3,2,2,1,NA,1,1.6,1,20,180,4,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","ja","ja","nein","nein","klinische Psychologie","ja","weiblich","RP",2,3,2,2,2,NA,NA,NA,NA,NA,3.66666666666667,2.66666666666667,2,4,2.33333333333333,1.66666666666667,4,4,3.25,3.75,3,4.2,2.1,NA,NA,NA
"30",30,2,4,3,2,2,3,3,2,4,3,4,3,3,2,3,3,1,5,1,1,2,1,2,1,1,3,5,3,5,4,2,3,4,4,5,5,4,3,2,5,2,4,2,5,3,1,3,2,3,5,6,4,7,3,3,2,1,3,3,3,2,1,4,3,1,NA,1,1.5,1,25,185,1,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","nein","ja","nein","ja","nein","nein","klinische Psychologie","ja","weiblich","RP",3,4,2,3,4,NA,NA,NA,NA,NA,2.33333333333333,2.66666666666667,3.33333333333333,3,2.33333333333333,3.66666666666667,2.5,4.5,3.5,4.75,3,5,3.2,NA,NA,NA
"31",31,4,5,1,5,2,4,5,5,4,5,5,2,5,1,3,5,3,3,2,2,2,2,2,2,2,4,3,5,3,4,3,4,3,4,3,5,4,4,2,3,5,4,3,5,4,3,1,4,4,5,6,5,6,3,1,4,4,2,4,1,4,4,1,2,1,NA,2,1.7,1,36,168,2,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ja","ja","ja","ja","ja","ja","ja","klinische Psychologie","nein","weiblich","RP",1,1,1,1,1,NA,NA,NA,NA,NA,4.66666666666667,4,3,5,3,2.66666666666667,4,3.25,4.5,3.75,3.25,5,1.2,NA,NA,NA
"32",32,5,2,2,5,2,3,5,3,3,5,3,2,5,2,3,5,2,3,1,1,2,2,2,1,1,4,4,4,4,4,3,4,4,4,3,5,3,3,2,5,2,5,3,5,4,5,3,5,5,5,5,5,5,4,2,3,3,3,2,3,3,3,2,2,1,NA,2,1.5,1,19,178,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","nein","ja","ja","ja","nein","nein","klinische Psychologie","nein","weiblich","BW",2,2,3,2,2,NA,NA,NA,NA,NA,5,2.33333333333333,2.66666666666667,5,2.33333333333333,2.66666666666667,3,4.5,4.25,3.75,3.25,4.8,2.3,NA,NA,NA
"33",33,3,4,4,4,2,2,4,3,3,4,4,3,4,2,3,4,3,3,1,2,2,1,2,2,2,4,4,4,4,4,4,5,4,4,4,5,3,3,3,4,3,4,3,4,4,2,3,3,2,6,6,6,6,5,1,3,4,2,4,3,3,2,3,1,3,NA,2,1.7,1,20,168,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","nein","ja","ja","ja","Wirtschaftspsychologie","nein","weiblich","BW",2,1,1,2,3,NA,NA,NA,NA,NA,3.66666666666667,3,3,4,3,3,3.5,4,4.5,3.75,3.5,5.8,1.9,NA,NA,NA
"34",34,5,3,3,4,3,3,5,2,2,5,3,3,4,2,3,5,2,2,1,2,2,2,2,2,1,4,4,5,3,4,3,5,3,4,3,5,4,3,5,3,4,4,4,4,5,5,5,5,5,6,6,6,5,4,1,4,4,3,4,3,3,3,2,1,5,"selbst√§ndig",1,2.9,2,20,174,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","ja","ja","ja","nein","sonstiges","ja","m‰nnlich","BW",1,1,1,2,2,NA,NA,NA,NA,NA,4.66666666666667,2.66666666666667,2.66666666666667,4.66666666666667,2.33333333333333,2.66666666666667,3.5,3.5,5,3.5,4.25,5.4,1.7,NA,NA,NA
"35",35,4,4,2,4,4,2,4,3,4,4,4,5,4,3,3,4,4,4,1,2,2,2,2,1,2,4,5,3,2,4,4,3,5,4,2,5,2,3,3,4,2,5,3,3,3,2,2,3,3,6,7,6,6,7,3,2,3,3,2,2,2,3,3,1,5,"Sport- oder forensische Psychologie",2,1.5,1,20,169,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","ja","ja","nein","ja","sonstiges","nein","weiblich","BW",3,2,3,3,2,NA,NA,NA,NA,NA,4,3.66666666666667,2.66666666666667,4,3.66666666666667,4,3.25,4.75,3.5,2.25,3.5,6.4,2.5,NA,NA,NA
